Sat Nov 11 15:14:01 2023    output.pstats

         126885478 function calls (126795106 primitive calls) in 300.429 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.007    0.001 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/resource_tracker.py:161(_send)
       13    0.000    0.000    0.007    0.001 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/resource_tracker.py:78(ensure_running)
        5    0.000    0.000    0.007    0.001 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/resource_tracker.py:153(register)
    29/21    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:1209(_handle_fromlist)
      7/4    0.000    0.000    0.006    0.001 {built-in method builtins.__import__}
       14    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        1    0.000    0.000    0.004    0.004 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/__init__.py:1(<module>)
        3    0.000    0.000    0.003    0.001 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/concurrent/futures/process.py:718(_start_executor_manager_thread)
       19    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:1056(_find_spec)
        3    0.000    0.000    0.003    0.001 /Users/alexsworkcomputer/Desktop/CU/CPBS_7711/Module3/M3D3/components/score_individual_subnet.py:10(__init__)
        3    0.001    0.000    0.003    0.001 /Users/alexsworkcomputer/Desktop/CU/CPBS_7711/Module3/M3D3/components/fa_utilities.py:91(extract_loci)
       17    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        1    0.000    0.000    0.003    0.003 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/context.py:1(<module>)
        1    0.000    0.000    0.003    0.003 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/io/parsers/readers.py:1362(__init__)
     5005    0.003    0.000    0.003    0.000 <frozen codecs>:260(__init__)
        1    0.000    0.000    0.003    0.003 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/io/parsers/readers.py:1629(_make_engine)
        1    0.000    0.000    0.003    0.003 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/connection.py:1(<module>)
